,City,Country,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed,Clouds
0,kapaa,US,48.0,22.08,-159.32,25.0,23.3,11.8,1.0
1,torbay,CA,79.0,47.66,-52.73,-3.0,-3.0,3.1,5.0
2,abu dhabi,AE,45.0,24.47,54.37,19.0,17.0,1.5,0.0
3,kodiak,US,73.0,39.95,-94.76,0.0,-1.8,2.6,90.0
4,cape town,ZA,73.0,-33.93,18.42,21.0,21.0,8.7,0.0
5,constitucion,MX,11.0,23.99,-104.67,14.0,14.0,9.3,20.0
6,corrente,BR,85.0,-17.45,-44.68,20.06,20.06,1.34,32.0
7,ostrovnoy,RU,82.0,68.05,39.51,-25.19,-25.19,5.14,12.0
8,port alfred,ZA,91.0,-33.59,26.89,19.54,19.54,6.49,0.0
9,seoul,KR,49.0,37.57,126.98,1.0,-8.0,1.5,1.0
10,susanville,US,81.0,40.42,-120.65,2.0,2.0,1.5,1.0
11,saldanha,PT,88.0,41.42,-6.55,-0.87,-0.87,2.54,32.0
12,nieves,MX,35.0,24.0,-103.02,9.91,9.91,7.19,0.0
13,ushuaia,AR,50.0,-54.81,-68.31,12.0,12.0,7.2,90.0
14,mar del plata,AR,40.0,-46.43,-67.52,18.59,18.59,5.84,0.0
15,kalmunai,LK,88.0,7.42,81.82,25.81,25.81,1.79,36.0
16,geraldton,CA,61.0,49.72,-86.95,-30.0,-30.0,2.6,40.0
17,rikitea,PF,98.0,-23.12,-134.97,27.31,27.31,4.94,8.0
18,xining,CN,76.0,36.62,101.77,-8.82,-8.82,1.14,88.0
19,rock falls,US,86.0,43.21,-93.08,-11.0,-16.0,6.2,40.0
20,sitka,US,71.0,37.17,-99.65,-0.12,-0.12,4.04,20.0
21,yellowknife,CA,77.0,62.45,-114.38,-19.0,-19.0,2.6,90.0
22,berezovyy,RU,62.0,51.67,135.7,-15.97,-15.97,0.64,0.0
23,jamestown,AU,79.0,-33.21,138.6,20.06,20.06,3.39,80.0
24,louisbourg,PF,100.0,-16.48,-151.75,26.81,26.81,5.24,32.0
25,faanui,TT,88.0,10.24,-61.45,24.0,24.0,2.79,20.0
26,esperance,MX,78.0,16.86,-99.88,27.0,27.0,3.6,75.0
27,acapulco,IN,100.0,25.04,83.61,14.91,14.91,1.99,88.0
28,bhabua,AU,85.0,-33.64,115.35,22.49,22.49,3.04,0.0
29,busselton,RU,51.0,52.47,96.11,-21.67,-21.67,1.89,0.0
30,toora-khem,US,59.0,40.52,-78.39,-3.2,-6.1,3.6,40.0
31,altoona,TL,67.0,-8.93,125.41,27.34,27.34,0.99,80.0
32,airai,CA,70.0,66.15,-65.72,-12.99,-12.99,5.19,0.0
33,pangnirtung,RU,84.0,59.7,30.79,-13.0,-13.0,1.0,75.0
34,nikolskoye,CL,71.0,-53.16,-70.91,11.0,11.0,5.7,40.0
35,belushya guba,AU,83.0,-34.72,135.86,20.76,20.76,5.49,56.0
36,punta arenas,AR,72.0,-45.87,-67.48,15.0,15.0,2.1,0.0
37,port lincoln,PH,85.0,13.56,123.37,24.81,24.81,8.39,80.0
38,comodoro rivadavia,BB,78.0,13.22,-59.52,25.0,25.0,7.2,40.0
39,bengkulu,MG,88.0,-25.17,45.06,19.64,19.64,1.24,0.0
40,illoqqortoormiut,CA,74.0,50.1,-91.92,-29.0,-33.0,1.5,5.0
41,ocampo,PG,100.0,-10.62,150.67,28.49,28.49,3.69,56.0
42,bathsheba,AR,78.0,-38.31,-60.23,14.89,14.89,3.84,12.0
43,grand river south east,PG,94.0,-3.66,152.44,30.01,30.01,4.94,32.0
44,beloha,AU,100.0,-20.07,146.27,22.26,22.26,6.59,100.0
45,sioux lookout,AU,28.0,-43.03,147.26,23.0,23.0,10.3,0.0
46,samarai,BS,100.0,26.54,-78.7,19.59,19.59,8.39,100.0
47,barrow,RU,90.0,56.55,36.43,-6.59,-6.59,6.74,92.0
48,namatanai,RU,31.0,71.97,114.09,-29.62,-29.62,3.04,44.0
49,charters towers,PT,87.0,38.8,-9.45,11.0,10.0,5.7,20.0
50,margate,NZ,75.0,-46.19,168.86,22.79,22.79,2.59,24.0
51,freeport,JP,55.0,35.73,140.83,4.0,4.0,4.1,20.0
52,novozavidovskiy,EC,93.0,-0.39,-78.55,15.0,13.0,2.6,20.0
53,saskylakh,LK,95.0,7.35,80.68,22.74,22.74,1.64,24.0
54,colares,SA,55.0,26.33,43.97,19.0,19.0,1.0,75.0
55,mataura,GY,88.0,6.8,-58.16,25.0,25.0,3.1,40.0
56,hasaki,GL,62.0,65.61,-37.64,-5.0,-5.0,7.7,88.0
57,san cristobal,JP,39.0,33.37,134.14,9.0,9.0,6.7,75.0
58,wattegama,US,56.0,42.65,-73.75,-6.7,-12.0,1.69,75.0
59,lolua,SO,78.0,5.35,48.53,23.91,23.91,8.64,8.0
60,buraydah,MU,83.0,-20.41,57.7,26.0,26.0,1.0,20.0
61,georgetown,CA,72.0,63.75,-68.52,-8.0,-8.0,5.1,75.0
62,tasiilaq,BR,97.0,-19.68,-51.19,22.56,22.56,2.34,12.0
63,muroto,AR,78.0,-38.38,-60.28,14.89,14.89,3.84,12.0
64,albany,JP,52.0,33.93,134.5,6.0,4.0,5.7,75.0
65,hobyo,RU,100.0,50.68,156.12,-2.77,-2.77,2.89,76.0
66,mahebourg,IN,93.0,15.34,74.49,15.0,15.0,2.59,40.0
67,iqaluit,BR,98.0,-17.81,-50.6,19.41,19.41,1.09,56.0
68,paranaiba,CF,61.0,4.95,23.92,25.51,25.51,3.69,8.0
69,tres arroyos,EC,100.0,-0.74,-90.35,25.16,25.16,3.89,0.0
70,katsuura,GL,100.0,72.79,-56.15,-13.82,-13.82,8.34,68.0
71,severo-kurilsk,US,53.0,19.71,-155.08,23.9,23.9,9.3,40.0
72,vaini,BR,100.0,-7.47,-34.81,24.0,24.0,2.6,75.0
73,santa helena de goias,CA,83.0,70.47,-68.59,-26.0,-26.0,9.3,90.0
74,rafai,AU,37.0,-25.24,130.99,29.0,29.0,9.8,68.0
75,puerto ayora,US,47.0,42.13,-70.92,0.0,-3.9,2.04,68.0
76,upernavik,VU,100.0,-15.51,167.18,23.69,23.69,1.89,92.0
77,hilo,CN,66.0,25.28,110.29,10.0,10.0,2.0,90.0
78,pitimbu,IT,80.0,41.89,12.48,4.0,1.0,0.5,0.0
79,barentsburg,NZ,79.0,-46.28,169.85,22.44,22.44,3.69,24.0
80,clyde river,US,79.0,30.04,-94.42,12.8,11.5,1.5,90.0
81,yulara,AU,28.0,-42.88,147.33,23.0,23.0,10.3,0.0
82,rockland,PE,88.0,-13.71,-76.2,23.0,23.0,7.7,0.0
83,luganville,CN,86.0,22.76,100.79,14.76,14.76,0.69,20.0
84,guilin,BR,91.0,-6.22,-57.76,24.41,24.41,0.99,8.0
85,roma,IR,66.0,28.22,61.21,-3.09,-3.09,1.19,0.0
86,kaitangata,CA,73.0,55.74,-97.86,-34.0,-34.0,1.84,40.0
87,nome,RU,81.0,69.38,178.42,-18.59,-18.59,5.74,80.0
88,rolim de moura,GB,87.0,51.04,-4.21,7.0,7.0,8.7,92.0
89,taolanaro,GL,100.0,77.48,-69.36,-29.19,-29.19,4.69,0.0
90,hobart,ZA,100.0,-33.02,27.91,21.16,21.16,7.64,56.0
91,pisco,CL,76.0,-42.48,-73.76,10.0,10.0,1.0,0.0
92,simao,RU,68.0,71.98,102.47,-26.27,-26.27,1.19,56.0
93,jacareacanga,NO,47.0,61.99,5.14,2.0,2.0,8.2,44.0
94,khash,AR,99.0,-38.55,-58.74,14.84,14.84,3.49,0.0
95,thompson,FO,64.0,62.23,-6.59,1.0,1.0,14.4,68.0
96,leningradskiy,AT,100.0,48.64,13.53,1.0,1.0,1.0,75.0
97,northam,CL,71.0,-42.79,-73.57,11.0,10.0,3.1,0.0
98,qaanaaq,AU,28.0,-42.78,147.06,23.0,23.0,10.3,0.0
99,east london,BR,94.0,-5.81,-35.21,25.0,25.0,3.1,40.0
100,castro,RU,68.0,51.46,104.64,-14.27,-14.27,2.69,0.0
101,kazalinsk,TZ,95.0,-6.34,31.07,17.39,17.39,2.14,36.0
102,khatanga,ZA,93.0,-34.42,19.24,13.29,13.29,2.24,0.0
103,raudeberg,US,41.0,21.32,-158.01,25.0,20.9,5.7,1.0
104,necochea,PK,99.0,29.55,66.02,2.19,2.19,0.99,32.0
105,klaksvik,GA,100.0,-1.57,9.26,26.81,26.81,4.24,44.0
106,wanning,RU,64.0,53.94,139.92,-13.12,-13.12,2.74,0.0
107,piopio,IT,76.0,40.36,18.17,9.0,4.0,7.7,0.0
108,new norfolk,MZ,100.0,-15.12,39.26,23.0,23.0,2.04,75.0
109,andenes,ID,69.0,5.56,95.32,28.34,28.34,3.04,20.0
110,natal,CN,64.0,49.6,117.43,-11.44,-11.44,8.29,64.0
111,vydrino,BN,94.0,5.28,115.24,26.0,25.0,1.5,75.0
112,mpanda,RU,87.0,67.55,63.78,-28.82,-28.82,1.84,36.0
113,hermanus,CA,92.0,58.52,-117.13,-5.0,-5.0,1.14,90.0
114,ewa beach,CO,85.0,6.19,-67.49,22.91,22.91,1.34,36.0
115,nushki,RU,96.0,69.7,170.27,-20.59,-20.59,5.39,88.0
116,omboue,CA,100.0,48.65,-53.11,-2.92,-2.92,5.24,0.0
117,mnogovershinnyy,ES,67.0,28.66,-17.92,16.0,16.0,4.1,0.0
118,lecce,ET,78.0,8.96,38.73,2.26,2.26,1.14,0.0
119,kismayo,BR,90.0,-20.63,-46.0,17.69,17.69,1.24,44.0
120,nampula,OM,64.0,17.01,54.1,22.0,22.0,2.1,0.0
121,banda aceh,PF,100.0,-9.8,-139.03,25.44,25.44,7.29,20.0
122,manzhouli,CA,56.0,44.08,-80.2,-9.0,-16.0,1.0,90.0
123,victoria,SO,100.0,9.49,50.81,24.94,24.94,8.54,92.0
124,komsomolskiy,IT,86.0,41.05,15.79,-2.0,-2.0,3.1,20.0
125,high level,GB,93.0,60.4,-1.35,3.0,3.0,5.1,80.0
126,puerto carreno,IE,88.0,53.8,-9.52,5.91,5.91,12.34,36.0
127,pevek,AU,79.0,-20.74,116.85,27.79,27.79,9.19,92.0
128,bonavista,HT,100.0,18.65,-74.12,23.01,23.01,0.99,0.0
129,los llanos de aridane,KI,100.0,3.07,172.79,27.84,27.84,4.29,80.0
130,lebu,GL,86.0,64.17,-51.74,-3.0,-3.0,10.3,0.0
131,ponta do sol,RU,80.0,73.51,80.55,-22.27,-22.27,10.79,36.0
132,salalah,IT,100.0,37.11,13.95,1.0,1.0,1.5,40.0
133,atuona,CA,76.0,69.44,-133.03,-24.0,-24.0,4.6,75.0
134,shelburne,NO,62.0,78.22,15.63,-4.0,-4.0,7.7,20.0
135,bandarbeyla,PG,99.0,-2.57,150.8,29.59,29.59,4.59,80.0
